tdate,dis_name,positive_cases
2020-06-30,Mymensingh,26
2020-06-30,Netrakona,4
2020-06-30,Sherpur,3
2020-06-30,Bogra,136
2020-06-30,Joypurhat,57
2020-06-30,Naogaon,98
2020-06-30,Natore,55
2020-06-30,Nawabganj,2
2020-06-30,Pabna,5
2020-06-30,Rajshahi,29
2020-06-30,Sirajganj,10
2020-06-30,Dinajpur,5
2020-06-30,Gaibandha,4
2020-06-30,Kurigram,1
2020-06-30,Nilphamari,1
2020-06-30,Habiganj,57
2020-06-30,Maulvibazar,57
2020-06-30,Sunamganj,19
2020-06-30,Sylhet,186
2020-06-29,Barguna,1
2020-06-29,Barisal,23
2020-06-29,Bhola,2
2020-06-29,Jhalokati,4
2020-06-29,Patuakhali,6
2020-06-29,Pirojpur,1
2020-06-29,Bandarban,7
2020-06-29,Brahamanbaria,5
2020-06-29,Chandpur,15
2020-06-29,Chittagong,127
2020-06-29,Comilla,85
2020-06-29,Cox's Bazar,57
2020-06-29,Feni,23
2020-06-29,Lakshmipur,46
2020-06-29,Noakhali,60
2020-06-29,Rangamati,5
2020-06-29,Dhaka,577
2020-06-29,Faridpur,5
2020-06-29,Gazipur,29
2020-06-29,Gopalganj,6
2020-06-29,Kishoreganj,1
2020-06-29,Madaripur,19
2020-06-29,Manikganj,7
2020-06-29,Munshiganj,6
2020-06-29,Narayanganj,46
2020-06-29,Narsingdi,4
2020-06-29,Rajbari,6
2020-06-29,Shariatpur,86
2020-06-29,Tangail,9
2020-06-29,Bagerhat,2
2020-06-29,Chuadanga,2
2020-06-29,Jessore,3
2020-06-29,Jhenaidah,1
2020-06-29,Khulna,14
2020-06-29,Meherpur,3
2020-06-29,Jamalpur,11
2020-06-29,Mymensingh,32
2020-06-29,Netrakona,8
2020-06-29,Sherpur,9
2020-06-29,Bogra,51
2020-06-29,Natore,1
2020-06-29,Pabna,1
2020-06-29,Sirajganj,4
2020-06-29,Dinajpur,3
2020-06-29,Nilphamari,2
2020-06-29,Panchagarh,1
2020-06-29,Habiganj,5
2020-06-29,Maulvibazar,11
2020-06-29,Sunamganj,25
2020-06-29,Sylhet,111
2020-06-28, ,2
2020-06-28,Barguna,17
2020-06-28,Barisal,50
2020-06-28,Bhola,32
2020-06-28,Jhalokati,2
2020-06-28,Patuakhali,35
2020-06-28,Pirojpur,36
2020-06-28,Bandarban,99
2020-06-28,Brahamanbaria,13
2020-06-28,Chandpur,83
2020-06-28,Chittagong,138
2020-06-28,Comilla,529
2020-06-28,Cox's Bazar,198
2020-06-28,Feni,40
2020-06-28,Khagrachhari,12
2020-06-28,Lakshmipur,19
2020-06-28,Noakhali,56
2020-06-28,Rangamati,4
2020-06-28,Dhaka,1707
2020-06-28,Faridpur,4
2020-06-28,Gazipur,26
2020-06-28,Gopalganj,4
2020-06-28,Kishoreganj,6
2020-06-28,Madaripur,4
2020-06-28,Manikganj,28
2020-06-28,Munshiganj,7
2020-06-28,Narayanganj,141
2020-06-28,Narsingdi,9
2020-06-28,Rajbari,121
2020-06-28,Shariatpur,4
